#chrom	start	end	name	score	strand	thickStart	thickEnd	itemRGB	blockCount	blockSizes	blockStart	deepTools_group
chr19	55503795	55503805	._r447	0.0	-	55503795	55503805	0	1	10	55503790	genes
chr17	48360929	48360933	._r399	0.0	-	48360929	48360933	0	1	4	48360925	genes
chr10	28826411	28826463	._r276	0.0	-	28826411	28826463	0	1	52	28826409	genes
chrX	53233481	53233484	._r501	0.0	-	53233481	53233484	0	1	3	53233476	genes
chr9	97994630	97994718	._r246	0.0	+	97994630	97994718	0	1	88	97994621	genes
chr16	18212609	18212643	._r365	0.0	-	18212609	18212643	0	1	34	18212608	genes
chr15	69455191	69455213	._r350	0.0	+	69455191	69455213	0	1	22	69455185	genes
chr7	26193265	26193280	._r225	0.0	-	26193265	26193280	0	1	15	26193263	genes
chr20	58619938	58619939	._r450	0.0	+	58619938	58619939	0	1	1	58619933	genes
chr15	74760659	74760660	._r355	0.0	-	74760659	74760660	0	1	1	74760652	genes
chrX	139720578	139720579	._r493	0.0	+	139720578	139720579	0	1	1	139720577	genes
chr19	8379598	8379604	._r411	0.0	+	8379598	8379604	0	1	6	8379590	genes
chr19	3976718	3976719	._r433	0.0	-	3976718	3976719	0	1	1	3976715	genes
chr21	8437129	8437204	._r466	0.0	+	8437129	8437204	0	1	75	8437121	genes
chr16	2253582	2253583	._r361	0.0	-	2253582	2253583	0	1	1	2253580	genes
chr19	3976427	3976430	._r432	0.0	-	3976427	3976430	0	1	3	3976424	genes
chr19	3976303	3976322	._r431	0.0	-	3976303	3976322	0	1	19	3976300	genes
chr21	46040983	46040990	._r472	0.0	+	46040983	46040990	0	1	7	46040979	genes
chr21	8398075	8398132	._r461	0.0	+	8398075	8398132	0	1	57	8398067	genes
chr12	120199434	120199455	._r326	0.0	-	120199434	120199455	0	1	21	120199433	genes
chr21	8437075	8437078	._r465	0.0	+	8437075	8437078	0	1	3	8437067	genes
chr2	231461657	231461757	._r92	0.0	-	231461657	231461757	0	1	100	231461655	genes
chr1	78007298	78007299	._r9	0.0	+	78007298	78007299	0	1	1	78007291	genes
chr8	142960467	142960468	._r238	0.0	+	142960467	142960468	0	1	1	142960466	genes
chr6	67885882	67886010	._r182	0.0	+	67885882	67886010	0	1	128	67885876	genes
chr1	148279270	148279288	._r11	0.0	+	148279270	148279288	0	1	18	148279269	genes
chr19	3976198	3976200	._r430	0.0	-	3976198	3976200	0	1	2	3976195	genes
chr2	231461798	231461823	._r93	0.0	-	231461798	231461823	0	1	25	231461796	genes
chr21	8258185	8258463	._r460	0.0	+	8258185	8258463	0	1	278	8258177	genes
chr1	175107648	175107652	._r55	0.0	-	175107648	175107652	0	1	4	175107647	genes
chr5	177689303	177689307	._r151	0.0	+	177689303	177689307	0	1	4	177689302	genes
chr2	231461960	231462017	._r94	0.0	-	231461960	231462017	0	1	57	231461958	genes
chr19	38822839	38822843	._r417	0.0	+	38822839	38822843	0	1	4	38822836	genes
chr2	139410924	139410960	._r70	0.0	+	139410924	139410960	0	1	36	139410923	genes
chr19	45518016	45518018	._r419	0.0	+	45518016	45518018	0	1	2	45518012	genes
chr4	173332189	173332222	._r134	0.0	-	173332189	173332222	0	1	33	173332188	genes
chr1	101167487	101167488	._r40	0.0	-	101167487	101167488	0	1	1	101167486	genes
chr7	121516314	121516315	._r232	0.0	-	121516314	121516315	0	1	1	121516313	genes
chr9	128693665	128693743	._r251	0.0	+	128693665	128693743	0	1	78	128693664	genes
chr12	53081902	53081903	._r323	0.0	-	53081902	53081903	0	1	1	53081897	genes
chr16	2756443	2756473	._r356	0.0	+	2756443	2756473	0	1	30	2756441	genes
chr5	82276146	82276147	._r139	0.0	+	82276146	82276147	0	1	1	82276138	genes
chr9	133255756	133255757	._r261	0.0	-	133255756	133255757	0	1	1	133255755	genes
chr11	59944214	59944215	._r285	0.0	+	59944214	59944215	0	1	1	59944209	genes
chr2	88503989	88503990	._r68	0.0	+	88503989	88503990	0	1	1	88503981	genes
chr17	27088263	27088265	._r389	0.0	-	27088263	27088265	0	1	2	27088261	genes
chr19	3980867	3980889	._r436	0.0	-	3980867	3980889	0	1	22	3980864	genes
chr7	157326985	157326986	._r234	0.0	-	157326985	157326986	0	1	1	157326984	genes
chr17	44398190	44398191	._r397	0.0	-	44398190	44398191	0	1	1	44398186	genes
chr14	49633957	49633991	._r345	0.0	-	49633957	49633991	0	1	34	49633953	genes
chr17	5024061	5024062	._r376	0.0	+	5024061	5024062	0	1	1	5024056	genes
chr19	3980656	3980686	._r435	0.0	-	3980656	3980686	0	1	30	3980653	genes
chr9	19378370	19378507	._r255	0.0	-	19378370	19378507	0	1	137	19378369	genes
chr3	39646379	39646380	._r112	0.0	-	39646379	39646380	0	1	1	39646376	genes
chr19	3980539	3980606	._r434	0.0	-	3980539	3980606	0	1	67	3980536	genes
chrX	125155012	125155016	._r509	0.0	-	125155012	125155016	0	1	4	125155011	genes
chr6	7248874	7248905	._r158	0.0	+	7248874	7248905	0	1	31	7248867	genes
chr17	27088318	27088320	._r390	0.0	-	27088318	27088320	0	1	2	27088316	genes
chr14	23584311	23584315	._r344	0.0	-	23584311	23584315	0	1	4	23584309	genes
chr17	27088359	27088422	._r391	0.0	-	27088359	27088422	0	1	63	27088357	genes
chr17	41755130	41755131	._r396	0.0	-	41755130	41755131	0	1	1	41755126	genes
chr16	28401389	28401390	._r368	0.0	-	28401389	28401390	0	1	1	28401387	genes
chr5	65902212	65902213	._r154	0.0	-	65902212	65902213	0	1	1	65902206	genes
chr1	1655444	1655446	._r21	0.0	-	1655444	1655446	0	1	2	1655443	genes
chr21	8254425	8254458	._r459	0.0	+	8254425	8254458	0	1	33	8254417	genes
chrX	119209632	119209636	._r508	0.0	-	119209632	119209636	0	1	4	119209631	genes
chrX	118282050	118282092	._r507	0.0	-	118282050	118282092	0	1	42	118282049	genes
chr1	19864489	19864490	._r30	0.0	-	19864489	19864490	0	1	1	19864488	genes
chr12	5121972	5121987	._r309	0.0	+	5121972	5121987	0	1	15	5121967	genes
chr7	19246551	19246552	._r209	0.0	+	19246551	19246552	0	1	1	19246550	genes
chr1	15807652	15807697	._r26	0.0	-	15807652	15807697	0	1	45	15807651	genes
chr21	8988564	8988581	._r469	0.0	+	8988564	8988581	0	1	17	8988556	genes
chr9	19378719	19378920	._r256	0.0	-	19378719	19378920	0	1	201	19378718	genes
chr6	99268723	99268732	._r201	0.0	-	99268723	99268732	0	1	9	99268714	genes
chr19	6413959	6413971	._r437	0.0	-	6413959	6413971	0	1	12	6413953	genes
chr12	89258790	89258791	._r314	0.0	+	89258790	89258791	0	1	1	89258782	genes
chr11	64765624	64765626	._r307	0.0	-	64765624	64765626	0	1	2	64765618	genes
chr21	8254224	8254252	._r458	0.0	+	8254224	8254252	0	1	28	8254216	genes
chr21	8253969	8254172	._r457	0.0	+	8253969	8254172	0	1	203	8253961	genes
chr1	153662746	153662749	._r46	0.0	-	153662746	153662749	0	1	3	153662745	genes
chr22	17514750	17514751	._r478	0.0	+	17514750	17514751	0	1	1	17514749	genes
chr5	140653991	140653992	._r145	0.0	+	140653991	140653992	0	1	1	140653990	genes
chr12	14924252	14924256	._r321	0.0	-	14924252	14924256	0	1	4	14924251	genes
chr2	51779840	51779844	._r79	0.0	-	51779840	51779844	0	1	4	51779835	genes
chr1	15236515	15236525	.	0.0	+	15236515	15236525	0	1	10	15236514	genes
chr5	140653119	140653123	._r144	0.0	+	140653119	140653123	0	1	4	140653118	genes
chr19	8376712	8376716	._r410	0.0	+	8376712	8376716	0	1	4	8376704	genes
chr10	119042198	119042260	._r279	0.0	-	119042198	119042260	0	1	62	119042197	genes
chr10	119042319	119042346	._r280	0.0	-	119042319	119042346	0	1	27	119042318	genes
chr1	42696741	42696743	._r4	0.0	+	42696741	42696743	0	1	2	42696737	genes
chr17	48076902	48076903	._r398	0.0	-	48076902	48076903	0	1	1	48076898	genes
chr1	42696893	42696929	._r5	0.0	+	42696893	42696929	0	1	36	42696889	genes
chr16	29418474	29418475	._r370	0.0	-	29418474	29418475	0	1	1	29418472	genes
chr19	44562829	44562834	._r444	0.0	-	44562829	44562834	0	1	5	44562825	genes
chr17	40135242	40135243	._r381	0.0	+	40135242	40135243	0	1	1	40135238	genes
chr1	87826740	87826742	._r38	0.0	-	87826740	87826742	0	1	2	87826732	genes
chr11	118126526	118126531	._r293	0.0	+	118126526	118126531	0	1	5	118126525	genes
chr9	98004962	98005150	._r247	0.0	+	98004962	98005150	0	1	188	98004953	genes
chr15	68782994	68783015	._r354	0.0	-	68782994	68783015	0	1	21	68782988	genes
chr1	52897764	52897765	._r7	0.0	+	52897764	52897765	0	1	1	52897759	genes
chr12	112022373	112022375	._r318	0.0	+	112022373	112022375	0	1	2	112022372	genes
chr11	73993917	73993918	._r308	0.0	-	73993917	73993918	0	1	1	73993910	genes
chr8	116602587	116602588	._r235	0.0	+	116602587	116602588	0	1	1	116602586	genes
chr16	67811118	67811123	._r371	0.0	-	67811118	67811123	0	1	5	67811112	genes
chr10	119042108	119042110	._r278	0.0	-	119042108	119042110	0	1	2	119042107	genes
chr13	90748799	90748801	._r333	0.0	+	90748799	90748801	0	1	2	90748790	genes
chr12	103946853	103946855	._r317	0.0	+	103946853	103946855	0	1	2	103946852	genes
chr13	90495721	90495722	._r332	0.0	+	90495721	90495722	0	1	1	90495712	genes
chr2	27384935	27384955	._r78	0.0	-	27384935	27384955	0	1	20	27384933	genes
chr2	27384754	27384804	._r77	0.0	-	27384754	27384804	0	1	50	27384752	genes
chr1	91387417	91387434	._r39	0.0	-	91387417	91387434	0	1	17	91387408	genes
chr5	150396600	150396614	._r148	0.0	+	150396600	150396614	0	1	14	150396599	genes
chr19	49653259	49653260	._r428	0.0	+	49653259	49653260	0	1	1	49653255	genes
chr19	49653188	49653189	._r427	0.0	+	49653188	49653189	0	1	1	49653184	genes
chr5	150396714	150396776	._r149	0.0	+	150396714	150396776	0	1	62	150396713	genes
chr7	55708212	55708249	._r226	0.0	-	55708212	55708249	0	1	37	55708207	genes
chr5	150396519	150396520	._r147	0.0	+	150396519	150396520	0	1	1	150396518	genes
chr20	43702732	43702763	._r449	0.0	+	43702732	43702763	0	1	31	43702728	genes
chr11	62527638	62527640	._r298	0.0	-	62527638	62527640	0	1	2	62527632	genes
chr22	36292143	36292145	._r489	0.0	-	36292143	36292145	0	1	2	36292140	genes
chr12	12125388	12125389	._r320	0.0	-	12125388	12125389	0	1	1	12125387	genes
chr11	62528224	62528225	._r299	0.0	-	62528224	62528225	0	1	1	62528218	genes
chr19	10680395	10680396	._r412	0.0	+	10680395	10680396	0	1	1	10680394	genes
chr5	141515718	141515719	._r156	0.0	-	141515718	141515719	0	1	1	141515717	genes
chr9	98011269	98011306	._r248	0.0	+	98011269	98011306	0	1	37	98011260	genes
chr9	98011353	98011381	._r249	0.0	+	98011353	98011381	0	1	28	98011344	genes
chr17	47678381	47678394	._r384	0.0	+	47678381	47678394	0	1	13	47678377	genes
chr2	237469619	237469620	._r95	0.0	-	237469619	237469620	0	1	1	237469617	genes
chr7	74194760	74194769	._r212	0.0	+	74194760	74194769	0	1	9	74194753	genes
chr5	150396410	150396411	._r146	0.0	+	150396410	150396411	0	1	1	150396409	genes
chr8	124140695	124140696	._r236	0.0	+	124140695	124140696	0	1	1	124140694	genes
chr5	10390406	10390432	._r136	0.0	+	10390406	10390432	0	1	26	10390405	genes
chr3	14488270	14488271	._r98	0.0	+	14488270	14488271	0	1	1	14488269	genes
chr8	125949995	125949998	._r237	0.0	+	125949995	125949998	0	1	3	125949994	genes
chr17	3924101	3924102	._r387	0.0	-	3924101	3924102	0	1	1	3924098	genes
chr7	39690441	39690443	._r210	0.0	+	39690441	39690443	0	1	2	39690438	genes
chr3	145334126	145334130	._r106	0.0	+	145334126	145334130	0	1	4	145334125	genes
chr7	74187609	74187610	._r211	0.0	+	74187609	74187610	0	1	1	74187602	genes
chr7	128639397	128639398	._r215	0.0	+	128639397	128639398	0	1	1	128639396	genes
chr11	62525686	62525687	._r297	0.0	-	62525686	62525687	0	1	1	62525680	genes
chr15	41371611	41371668	._r349	0.0	+	41371611	41371668	0	1	57	41371607	genes
chr12	56112879	56112880	._r313	0.0	+	56112879	56112880	0	1	1	56112874	genes
chrX	6534029	6534146	._r495	0.0	-	6534029	6534146	0	1	117	6534023	genes
chr12	132782394	132782395	._r330	0.0	-	132782394	132782395	0	1	1	132782393	genes
chr11	62531737	62531738	._r302	0.0	-	62531737	62531738	0	1	1	62531731	genes
chr11	62532121	62532122	._r303	0.0	-	62532121	62532122	0	1	1	62532115	genes
chr13	40949841	40949843	._r335	0.0	-	40949841	40949843	0	1	2	40949837	genes
chr1	29149222	29149223	._r32	0.0	-	29149222	29149223	0	1	1	29149220	genes
chr17	50741655	50741656	._r385	0.0	+	50741655	50741656	0	1	1	50741650	genes
chr3	47662456	47662457	._r113	0.0	-	47662456	47662457	0	1	1	47662452	genes
chr12	101230116	101230117	._r316	0.0	+	101230116	101230117	0	1	1	101230115	genes
chr1	70239480	70239496	._r8	0.0	+	70239480	70239496	0	1	16	70239473	genes
chr17	30185018	30185019	._r378	0.0	+	30185018	30185019	0	1	1	30185015	genes
chr5	139627113	139627115	._r143	0.0	+	139627113	139627115	0	1	2	139627112	genes
chrX	53413100	53413101	._r505	0.0	-	53413100	53413101	0	1	1	53413095	genes
chr14	19289869	19289875	._r342	0.0	-	19289869	19289875	0	1	6	19289868	genes
chr17	74914014	74914018	._r386	0.0	+	74914014	74914018	0	1	4	74914007	genes
chr11	59578221	59578222	._r296	0.0	-	59578221	59578222	0	1	1	59578216	genes
chr8	47834232	47834233	._r241	0.0	-	47834232	47834233	0	1	1	47834228	genes
chr22	36289193	36289194	._r488	0.0	-	36289193	36289194	0	1	1	36289190	genes
chr19	34464072	34464098	._r414	0.0	+	34464072	34464098	0	1	26	34464069	genes
chr20	4585816	4585817	._r448	0.0	+	4585816	4585817	0	1	1	4585812	genes
chr11	14852704	14852736	._r295	0.0	-	14852704	14852736	0	1	32	14852703	genes
chr6	31627157	31627177	._r163	0.0	+	31627157	31627177	0	1	20	31627154	genes
chr6	2299690	2299691	._r157	0.0	+	2299690	2299691	0	1	1	2299688	genes
chr1	42700780	42700782	._r6	0.0	+	42700780	42700782	0	1	2	42700776	genes
chr22	42601228	42601230	._r480	0.0	+	42601228	42601230	0	1	2	42601224	genes
chr21	42903558	42903561	._r471	0.0	+	42903558	42903561	0	1	3	42903554	genes
chr6	89721153	89721154	._r183	0.0	+	89721153	89721154	0	1	1	89721145	genes
chr3	42625427	42625429	._r102	0.0	+	42625427	42625429	0	1	2	42625423	genes
chrX	147877952	147877974	._r494	0.0	+	147877952	147877974	0	1	22	147877951	genes
chr17	40396411	40396414	._r394	0.0	-	40396411	40396414	0	1	3	40396407	genes
chr19	30538923	30538927	._r413	0.0	+	30538923	30538927	0	1	4	30538920	genes
chr8	47836421	47836422	._r242	0.0	-	47836421	47836422	0	1	1	47836417	genes
chr13	104228786	104228788	._r337	0.0	-	104228786	104228788	0	1	2	104228785	genes
chr14	59081803	59081804	._r346	0.0	-	59081803	59081804	0	1	1	59081798	genes
chr11	62530606	62530607	._r301	0.0	-	62530606	62530607	0	1	1	62530600	genes
chr16	20717795	20717796	._r359	0.0	+	20717795	20717796	0	1	1	20717793	genes
chr11	62530516	62530517	._r300	0.0	-	62530516	62530517	0	1	1	62530510	genes
chr1	226390480	226390481	._r62	0.0	-	226390480	226390481	0	1	1	226390478	genes
chr1	48196342	48196348	._r37	0.0	-	48196342	48196348	0	1	6	48196338	genes
chr16	89283863	89283864	._r375	0.0	-	89283863	89283864	0	1	1	89283855	genes
chr11	3015841	3015843	._r294	0.0	-	3015841	3015843	0	1	2	3015838	genes
chr2	105097224	105097228	._r69	0.0	+	105097224	105097228	0	1	4	105097223	genes
chr2	139892396	139892398	._r71	0.0	+	139892396	139892398	0	1	2	139892395	genes
chr18	21622773	21622794	._r404	0.0	+	21622773	21622794	0	1	21	21622771	genes
chr18	66622053	66622056	._r406	0.0	+	66622053	66622056	0	1	3	66622047	genes
chr18	59349128	59349154	._r409	0.0	-	59349128	59349154	0	1	26	59349123	genes
chr10	69384833	69384843	._r268	0.0	+	69384833	69384843	0	1	10	69384827	genes
chrX	151905117	151905118	._r512	0.0	-	151905117	151905118	0	1	1	151905116	genes
