seqnames	start	end	width	strand	log2FC	logCPM	F	PValue	FDR	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS
IV	690945	690987	43	+	1.43690011226735	7.27771946792187	47.1990827660443	2.32741949400291e-05	0.000123772931779434	Promoter	4	691014	691214	201	1	YDR119W-A	YDR119W-A_mRNA	-27
IV	693230	693241	12	-	-1.4268513521248	6.16911278600449	15.3785513607159	0.00226242865190348	0.00557134505068944	Promoter	4	691549	693261	1713	2	YDR120C	YDR120C_mRNA	31
IV	693442	693488	47	+	-1.75443391344748	7.25466624551052	57.7092678590007	9.00454328185487e-06	5.92910793092095e-05	Promoter	4	693585	694175	591	1	YDR121W	YDR121W_mRNA	-97
IV	702634	702767	134	-	1.75882665613029	7.75832800470843	72.7988631689244	2.8994913056253e-06	2.44099043134476e-05	Promoter	4	701397	702758	1362	2	YDR125C	YDR125C_mRNA	0
IV	704394	704461	68	+	-1.7747690565663	6.22432178927529	41.1425680395684	4.36937052619734e-05	0.000202489114099774	Promoter	4	704484	709250	4767	1	YDR127W	YDR127W_mRNA	-23
IV	733901	733996	96	-	1.12837822231069	6.2220911406058	7.82374875893009	0.0169452215221857	0.0312805189404232	Promoter	4	733618	733924	307	2	YDR139C	YDR139C_mRNA	0
IV	73935	74159	225	-	2.55030226077045	8.9672567792149	179.782364873707	2.69402509921286e-08	6.97906978810467e-07	Promoter	4	70640	73918	3279	2	YDL215C	YDL215C_mRNA	-241
IV	765213	765271	59	-	-1.27571631800894	6.28065259377708	15.5807669891107	0.00216315126159538	0.0053594165167633	Promoter	4	764178	765155	978	2	YDR151C	YDR151C_mRNA	-116
IV	765319	765347	29	-	-2.17941750438659	5.15777014505342	21.6547051733758	0.000650182024898224	0.0019350371456604	Promoter	4	764178	765155	978	2	YDR151C	YDR151C_mRNA	-192
IV	76577	76675	99	-	8.39218824548837	6.21120778485402	144.650678234519	5.51654135506721e-07	6.67748513277539e-06	Promoter	4	74446	76545	2100	2	YDL214C	YDL214C_mRNA	-130
IV	768019	768043	25	-	-1.74213173731106	5.19775903370352	7.05182338586852	0.0218893199777356	0.0388376582054084	Promoter	4	766736	767971	1236	2	YDR153C	YDR153C_mRNA	-72
IV	770310	770386	77	+	-2.65561602719085	9.83687809314908	263.569617835726	3.41515125583826e-09	1.76788574584138e-07	Promoter	4	770357	771454	1098	1	YDR158W	YDR158W_mRNA	0
IV	775948	776060	113	+	1.13943382927234	6.09819562357749	12.3298830102674	0.00467167899916287	0.0103376034606305	Promoter	4	776163	778721	2559	1	YDR160W	YDR160W_mRNA	-103
IV	778970	779025	56	+	-2.76517981931649	6.24936626926324	43.0293148968302	3.56353690140648e-05	0.000172196331303316	Promoter	4	779043	780206	1164	1	YDR161W	YDR161W_mRNA	-18
IV	784801	784861	61	+	-2.89162125373017	6.77828470320923	129.677570450706	1.51996489229875e-07	2.4710531343903e-06	Promoter	4	784871	786205	1335	1	YDR165W	YDR165W_mRNA	-10
IV	802183	802261	79	-	1.49668787024093	6.18572247774069	12.8795099378706	0.0040694347623407	0.00920161224607334	Promoter	4	796193	802222	6030	2	YDR170C	YDR170C_mRNA	0
IV	803142	803142	1	+	-1.59941628409729	7.24458350775598	64.920748072095	5.09249730228877e-06	3.77304779829668e-05	Promoter	4	803195	804517	1323	1	YDR170W-A	YDR170W-A	-53
IV	812195	812274	80	+	-2.63701873320972	6.12062753408239	70.8022126560293	3.32695899705181e-06	2.74389533553459e-05	Promoter	4	812110	812850	741	1	YDR174W	YDR174W_mRNA	85
IV	827356	827414	59	-	1.28460691459307	6.41868027625015	21.3955751177504	0.000681002206555378	0.00201321794477428	Promoter	4	825910	827355	1446	2	YDR181C	YDR181C_mRNA	-59
IV	831500	831619	120	-	-2.61304962823761	8.53675661852871	184.552803144988	2.34166250277932e-08	6.34509828350365e-07	Promoter	4	830629	831513	885	2	YDR184C	YDR184C_mRNA	0
IV	850949	851076	128	-	1.23852508547933	7.2836517653641	38.7820914147156	5.70028919488829e-05	0.000253080357867942	Promoter	4	850274	850999	726	2	YDR196C	YDR196C_mRNA	0
IV	87443	87503	61	+	-1.87712970913216	8.06420545132431	89.3675282833781	1.03720745539814e-06	1.0900759131679e-05	Promoter	4	87512	87982	471	1	YDL208W	YDL208W_mRNA	-9
IV	884653	884711	59	+	-1.61334280142225	5.55853784143569	17.9590945266811	0.00130924148920038	0.00348201734187803	Promoter	4	884727	886865	2139	1	YDR211W	YDR211W_mRNA	-16
IV	889489	889591	103	+	-1.50205572409188	7.6632139182615	47.1394549874989	2.34112252795953e-05	0.000124065297067263	Promoter	4	889751	892492	2742	1	YDR213W	YDR213W_mRNA	-160
IV	917420	917491	72	+	1.36531059970024	7.10894803783596	22.688595616493	0.000542507534293796	0.00166191874851044	Promoter	4	917571	921647	4077	1	YDR227W	YDR227W_mRNA	-80
IV	930314	930451	138	-	-1.74670268330852	9.30436903683522	133.739981364252	1.29293992195206e-07	2.21529776768266e-06	Promoter	4	929470	930357	888	2	YDR233C	YDR233C_mRNA	0
IV	933473	933524	52	+	-1.00748756291295	6.02853676876345	7.68980121413762	0.0176991001923748	0.032438350861053	Promoter	4	933504	935138	1635	1	YDR235W	YDR235W_mRNA	0
IV	94540	94605	66	+	2.07604740417209	8.984346864769	167.573911610576	3.92135028643951e-08	9.08632880657842e-07	Promoter	4	94605	95786	1182	1	YDL204W	YDL204W_mRNA	0
IV	952697	952742	46	+	-1.12454481713651	7.12489293961969	26.5965242904897	0.000287257828275575	0.000977480134537725	Promoter	4	952800	953981	1182	1	YDR245W	YDR245W_mRNA	-58
IV	969664	969730	67	-	9.27361004288103	7.01072288717627	280.051254410404	2.88242422459819e-08	7.22983313242e-07	Promoter	4	968133	969680	1548	2	YDR256C	YDR256C_mRNA	0
IV	975941	976003	63	-	1.66196890080475	5.70186141189238	15.9729742299565	0.00198488231063079	0.00497722876132038	Promoter	4	974631	975782	1152	2	YDR259C	YDR259C_mRNA	-221
IV	99458	99544	87	+	-1.06844211670417	6.98510225743458	27.1787659750734	0.000262837767887079	0.000905785112279409	Promoter	4	99561	100421	861	1	YDL201W	YDL201W_mRNA	-17
IV	998324	998447	124	-	1.4681731731441	7.52140075084696	46.758544575056	2.43093565164631e-05	0.000127329740375791	Promoter	4	996029	998323	2295	2	YDR264C	YDR264C_mRNA	-124
IX	102256	102329	74	-	-2.37569548066589	5.63834029126028	17.782398466864	0.00135693276087951	0.003590448512474	Promoter	9	100781	102235	1455	2	YIL131C	YIL131C_mRNA	-94
IX	102631	102686	56	+	1.04263378401778	6.29208483478302	12.6921710557856	0.00426377461366437	0.00955666848000499	Promoter	9	102782	105676	2895	1	YIL130W	YIL130W_mRNA	-96
IX	117652	117722	71	-	-1.97587011721192	8.90151064742574	149.250157748655	7.25155933219266e-08	1.43439380936786e-06	Promoter	9	117024	117644	621	2	YIL127C	YIL127C_mRNA	-78
IX	122386	122590	205	+	2.12339048706827	8.8730590753319	178.224243547999	2.82238792258641e-08	7.15298939130493e-07	Promoter	9	122689	125733	3045	1	YIL125W	YIL125W_mRNA	-99
IX	126146	126237	92	+	2.33877844553699	6.45681221946183	44.2941605470708	3.12083407071355e-05	0.000155434785957954	Promoter	9	126204	127097	894	1	YIL124W	YIL124W_mRNA	0
IX	128085	128110	26	+	-3.24213599792593	5.52349582767303	42.2805695571287	3.86042085988728e-05	0.000184203393647945	Promoter	9	128151	129581	1431	1	YIL123W	YIL123W_mRNA	-41
IX	132186	132240	55	+	-1.86241862770301	6.53366176675804	32.0735149635569	0.000131044642421307	0.000498449355602422	Promoter	9	132244	133872	1629	1	YIL121W	YIL121W_mRNA	-4
IX	141606	141720	115	-	5.70487714370951	6.91206073886996	113.339586145497	3.06626883882198e-07	4.25084449279423e-06	Promoter	9	140613	141569	957	2	YIL117C	YIL117C_mRNA	-151
IX	142858	142901	44	+	-1.56611924487839	6.85267319981299	39.6710598661947	5.14949961151797e-05	0.000233092698694386	Promoter	9	142928	144085	1158	1	YIL116W	YIL116W_mRNA	-27
IX	150005	150056	52	-	-1.18405161383008	5.61035657663534	7.78236187520667	0.017173994256546	0.0316547939592246	Promoter	9	149143	149988	846	2	YIL114C	YIL114C_mRNA	-68
IX	155176	155202	27	+	-3.37244350325004	5.48407129035199	16.0830955440636	0.00193798778787773	0.00487855591092243	Promoter	9	155311	155765	455	1	YIL111W	YIL111W_mRNA	-109
IX	160858	160871	14	+	1.46037007710664	5.96872805670609	6.66207340669024	0.0250346864834057	0.043491176161461	Promoter	9	160887	162977	2091	1	YIL108W	YIL108W_mRNA	-16
IX	165913	165943	31	-	1.04846731449889	7.09571872640047	19.0308409049687	0.0010589068437467	0.00290453252630861	Promoter	9	163278	165761	2484	2	YIL107C	YIL107C_mRNA	-182
IX	166399	166399	1	+	-2.26671623032441	4.90281579001994	12.9549626585741	0.00399413497832567	0.00904395570243494	Promoter	9	166415	167444	1030	1	YIL106W	YIL106W_mRNA	-16
IX	171692	171732	41	+	-1.77864033741149	5.68276203873807	16.4318512313944	0.00179787278299297	0.00457243239312189	Promoter	9	171751	173028	1278	1	YIL103W	YIL103W_mRNA	-19
IX	177268	177435	168	-	2.27308368073377	8.68957534538081	164.072188822648	4.38800099465393e-08	9.88519112962316e-07	Promoter	9	177373	177726	354	1	YIL100W	YIL100W_mRNA	0
IX	187647	187735	89	-	-1.58701453134407	6.4930089922444	34.5324052812127	9.51972955808419e-05	0.000383151398094604	Promoter	9	186517	187632	1116	2	YIL094C	YIL094C_mRNA	-103
IX	193178	193249	72	-	-1.73152228736494	8.79035733962588	123.064247493828	1.99841023971956e-07	3.04835869168507e-06	Promoter	9	191030	193195	2166	2	YIL091C	YIL091C_mRNA	0
IX	199426	199484	59	-	1.26196024498767	6.70197468885184	21.1103285129584	0.000716941999183772	0.00210539515270262	Promoter	9	197931	199403	1473	2	YIL088C	YIL088C_mRNA	-81
IX	200092	200201	110	-	1.2615551322727	7.2647951776738	17.755286314285	0.00136443059945177	0.00360832570485453	Promoter	9	199646	200119	474	2	YIL087C	YIL087C_mRNA	0
IX	202065	202108	44	-	-1.8826225625315	4.98010089362512	15.3184017510335	0.00229299116929901	0.00563455017815856	Promoter	9	200490	202043	1554	2	YIL085C	YIL085C_mRNA	-65
IX	212432	212482	51	+	-2.06044286775113	7.5508025415151	67.7600704333266	4.12987200221603e-06	3.21021679916665e-05	Promoter	9	212499	214703	2205	1	YIL078W	YIL078W_mRNA	-17
IX	232376	232459	84	-	-2.89127185109883	8.79089153241322	131.06142607146	1.43772186003864e-07	2.3691922001224e-06	Promoter	9	231553	232369	817	2	YIL069C	YIL069C_mRNA	-90
IX	241756	241866	111	-	1.33327971813692	8.24408570726936	41.7817874629777	4.07439139392464e-05	0.000192080776800748	Promoter	9	241308	241775	468	2	YIL065C	YIL065C_mRNA	0
IX	248369	248502	134	-	6.66251427142165	9.48318461326485	902.350653341198	3.76783883874185e-12	9.16715189465893e-09	Promoter	9	247902	248396	495	2	YIL057C	YIL057C_mRNA	0
IX	255049	255109	61	+	-2.17380813625378	8.76371121173208	112.706804175158	3.15653268622146e-07	4.33889492970442e-06	Promoter	9	255115	255867	753	1	YIL053W	YIL053W_mRNA	-6
IX	257080	257164	85	-	-1.95276528066973	8.81199014383292	149.553585988894	7.17406651202146e-08	1.42485745499985e-06	Promoter	9	256226	257063	838	2	YIL052C	YIL052C_mRNA	-101
IX	261467	261586	120	+	8.07248889447978	5.94624403556016	72.1547430237536	1.09623004364069e-05	6.86519355515524e-05	Promoter	9	261437	264892	3456	1	YIL048W	YIL048W_mRNA	30
IX	309190	309228	39	-	8.04252006146491	5.89806582147535	108.976063671775	1.89863743836395e-06	1.7398813135742e-05	Promoter	9	308602	309171	570	2	YIL024C	YIL024C_mRNA	-57
IX	312814	312875	62	+	-1.01055290858574	6.94434442159976	26.0407718460644	0.000313097742648025	0.00104998870828759	Promoter	9	312905	313861	957	1	YIL021W	YIL021W_mRNA	-30
IX	314840	314919	80	-	-1.67281860320897	6.84506130737727	53.0062270488367	1.35048079986842e-05	8.05323476980359e-05	Promoter	9	314035	314820	786	2	YIL020C	YIL020C_mRNA	-99
IX	315061	315095	35	+	-2.51402912835207	6.49563184920825	61.9528594116299	6.39435490645994e-06	4.56230659455045e-05	Promoter	9	315093	316133	1041	1	YIL019W	YIL019W_mRNA	0
IX	316703	316774	72	+	-3.15334007277575	7.49823327218008	105.435365456335	4.45491072353516e-07	5.78069215485922e-06	Promoter	9	316768	317932	1165	1	YIL018W	YIL018W_mRNA	0
IX	322285	322324	40	+	-3.57821082327784	4.93958066921296	23.0198584389551	0.000512557239773715	0.00158657985288734	Promoter	9	322342	324105	1764	1	YIL015W	YIL015W_mRNA	-18
IX	325566	325614	49	-	2.3110192018798	5.25471457760285	13.9116372952514	0.00316890531299909	0.00741341021781421	Promoter	9	325212	325526	315	2	YIL014C-A	YIL014C-A_mRNA	-88
IX	344034	344064	31	+	2.25165408370467	5.18697147332381	13.8056212367253	0.00324968287833097	0.00756600807940598	Promoter	9	344062	345183	1122	1	YIL006W	YIL006W_mRNA	0
IX	345631	345716	86	+	1.78140870777829	6.76812624843807	43.3052203038268	3.46097409141403e-05	0.000168579578867074	Promoter	9	345692	347797	2106	1	YIL005W	YIL005W_mRNA	0
IX	37346	37350	5	+	-1.46437944772602	5.71630102674389	16.4038864426928	0.00180865645854266	0.00458859349701177	Promoter	9	37385	38983	1599	1	YIL162W	YIL162W_mRNA	-35
IX	374447	374519	73	+	-1.82699482632727	6.49457631415858	37.3375975282883	6.75071688417376e-05	0.000287896479915771	Promoter	9	374525	374860	336	1	YIR009W	YIR009W_mRNA	-6
IX	381049	381088	40	+	1.02230191344317	6.78035535931246	12.7557391363888	0.00419662454661237	0.00942787398144773	Promoter	9	381086	381814	729	1	YIR014W	YIR014W_mRNA	0
IX	381924	381950	27	+	-2.99377918087912	5.92713738446212	53.1033166394877	1.33882488773995e-05	8.01318807348415e-05	Promoter	9	381948	382382	435	1	YIR015W	YIR015W_mRNA	0
IX	382578	382607	30	+	1.68338275222344	5.98388607238174	14.8932028652534	0.00252351975054105	0.00611830946992165	Promoter	9	382628	383425	798	1	YIR016W	YIR016W_mRNA	-21
IX	405974	406031	58	-	-2.25455237862276	6.98498327678595	70.0944774088782	3.4960022820053e-06	2.8352578507063e-05	Promoter	9	404873	405967	1095	2	YIR026C	YIR026C_mRNA	-64
IX	412778	412810	33	-	-2.96727943806367	4.69690048071106	14.3572621912727	0.00285429996428901	0.00680167660442229	Promoter	9	412036	412770	735	2	YIR030C	YIR030C_mRNA	-40
IX	41445	41478	34	-	9.40020804167282	7.12956722550553	258.366401521216	4.14806850497152e-08	9.47629171135747e-07	Promoter	9	40191	41444	1254	2	YIL160C	YIL160C_mRNA	-34
IX	421810	421859	50	-	-3.0119140793195	6.15652854225624	78.0220781593466	2.05411814200994e-06	1.83843537061287e-05	Promoter	9	421026	421790	765	2	YIR035C	YIR035C_mRNA	-69
IX	422859	422931	73	-	2.09825115132231	7.36441312806908	77.2228345828539	2.1624609641724e-06	1.90280923176544e-05	Promoter	9	422074	422865	792	2	YIR036C	YIR036C_mRNA	0
IX	423049	423128	80	+	3.09665727848239	6.35124800842008	31.3114081463623	0.000145241067226107	0.000545326414446169	Promoter	9	423128	423619	492	1	YIR037W	YIR037W_mRNA	0
IX	424513	424571	59	-	1.21764593140899	8.01342092603259	64.8749070220617	5.1100830067383e-06	3.77897627823534e-05	Promoter	9	423809	424513	705	2	YIR038C	YIR038C_mRNA	0
IX	46131	46140	10	+	3.2874161223872	4.86528609383377	18.5789334103835	0.00115688436556046	0.00312918250295564	Promoter	9	46201	46815	615	1	YIL158W	YIL158W_mRNA	-61
IX	46185	46216	32	+	-2.39503358636019	6.80748652494317	74.7266834429529	2.54684369494594e-06	2.17420024905385e-05	Promoter	9	46201	46815	615	1	YIL158W	YIL158W_mRNA	0
IX	47513	47586	74	-	1.10113626803247	7.61132596968526	37.2485433301725	6.82262258914046e-05	0.000289946563482598	Promoter	9	46949	47542	594	2	YIL157C	YIL157C_mRNA	0
IX	53724	53809	86	-	3.1201137898957	7.39382279481159	125.895850841321	1.7745615516245e-07	2.78548919684027e-06	Promoter	9	51759	53708	1950	2	YIL155C	YIL155C_mRNA	-101
IX	68643	68708	66	+	-1.69789809568882	9.88663799043852	143.644707528544	8.87694062940438e-08	1.66776807346261e-06	Promoter	9	68708	69528	821	1	YIL148W	YIL148W_mRNA	0
IX	77284	77358	75	-	-2.43723113207712	7.10730066006967	90.5641181233393	9.69527140264999e-07	1.03914516839856e-05	Promoter	9	76354	77283	930	2	YIL145C	YIL145C_mRNA	-75
IX	93510	94180	671	+	2.20997373483519	11.1580641521099	173.807864775715	3.22727136287728e-08	7.85195122588043e-07	Promoter	9	93619	94800	1182	1	YIL136W	YIL136W_mRNA	0
IX	99392	99490	99	-	-2.84473322788398	9.42818443340654	441.380963956149	2.01515600627477e-10	5.33716352323912e-08	Promoter	9	98527	99416	890	2	YIL133C	YIL133C_mRNA	0
Mito	6546	6715	170	+	4.03125780500135	6.43772101207006	18.1759360408941	0.00125339142761979	0.00335294265354476	Promoter	17	6546	8194	1649	1	Q0020	Q0020_rRNA	0
V	101753	101890	138	+	-1.57696391195719	7.57745820686375	45.5436292473696	2.74574972659555e-05	0.000141106988255738	Promoter	5	101943	102323	381	1	YEL026W	YEL026W_mRNA	-53
V	118034	118052	19	-	1.40646286872046	6.51000821336123	21.0948540911151	0.000718954848428316	0.00211003274574921	Promoter	5	117667	118035	369	2	RPR1	RPR1_ncRNA	0
V	122937	122977	41	-	-2.04635511851863	7.58068916851897	86.7547355762726	1.20530731842056e-06	1.22956507577242e-05	Promoter	5	122798	122929	132	2	YEL017C-A	YEL017C-A_mRNA	-48
V	126401	126421	21	-	-2.1749010611001	5.23523114777878	25.3256437417444	0.000350491579466865	0.00114688530384266	Promoter	5	124737	126218	1482	2	YEL016C	YEL016C_mRNA	-203
V	131627	131765	139	+	1.30579502604088	8.64893759174721	39.2840537207729	5.38120766882169e-05	0.000241336004760243	Promoter	5	131772	132551	780	1	YEL012W	YEL012W_mRNA	-7
V	141629	141652	24	+	1.11081625303251	6.81863761490767	12.2573005234857	0.00475886114119681	0.0104923508441612	Promoter	5	141892	143892	2001	1	YEL007W	YEL007W_mRNA	-240
V	141711	141807	97	+	3.05911174592844	5.26639255894167	15.6381361600788	0.00213592906780184	0.00530006672306157	Promoter	5	141892	143892	2001	1	YEL007W	YEL007W_mRNA	-85
V	153462	153482	21	+	-1.5124339581524	5.82443651502482	20.7301450794625	0.000768381999141824	0.00223087518366594	Promoter	5	153520	155808	2289	1	YER001W	YER001W_mRNA	-38
V	156739	156796	58	+	-1.19283514861374	9.30182151066851	63.5852170850149	5.63543538279825e-06	4.10509409770902e-05	Promoter	5	156803	157498	696	1	YER002W	YER002W_mRNA	-7
V	159293	159410	118	+	1.93823842911807	6.32881103917657	43.9917597673831	3.22048657524956e-05	0.000159256988568744	Promoter	5	159580	160275	696	1	YER004W	YER004W_mRNA	-170
V	159548	159582	35	+	1.59446506012976	7.5345228700243	81.9549408829509	1.60562465372185e-06	1.50829528282056e-05	Promoter	5	159580	160275	696	1	YER004W	YER004W_mRNA	0
V	162658	162706	49	+	-1.90957076230668	8.99378613793455	98.3203903115257	6.37732936372934e-07	7.38859159140642e-06	Promoter	5	162723	164285	1563	1	YER006W	YER006W_mRNA	-17
V	16288	16342	55	+	-3.61744105021953	5.81887399046286	34.3045352053446	9.79852003608041e-05	0.000392101961312231	Promoter	5	16355	17845	1491	1	YEL071W	YEL071W_mRNA	-13
V	167586	167586	1	-	-1.1292283685831	5.31008118898228	8.47132211504344	0.0137978486571514	0.0260637933096656	Promoter	5	167427	167586	160	2	snR14	snR14_snRNA	0
V	172027	172106	80	+	-1.25998711675054	7.58773053794261	46.7679846920541	2.42866131819026e-05	0.000127329740375791	Promoter	5	172115	172492	378	1	YER009W	YER009W_mRNA	-9
V	173306	173367	62	-	1.39186250453743	5.36351009824174	7.25734505009474	0.0204215206063364	0.0366412681675638	Promoter	5	172634	173338	705	2	YER010C	YER010C_mRNA	0
V	175182	175205	24	+	-2.94069524632581	5.6703328013819	27.8276787639321	0.000238448034299477	0.000831747766954304	Promoter	5	175248	176012	765	1	YER011W	YER011W_mRNA	-43
V	182546	182584	39	+	1.0009486050013	6.57114296844014	14.7328121875594	0.0026175218194537	0.00630849983826732	Promoter	5	182600	184219	1620	1	YER014W	YER014W_mRNA	-16
V	184465	184547	83	+	7.8734211895081	5.76177230779227	87.5307537252875	4.85881733913325e-06	3.64861190929358e-05	Promoter	5	184541	186775	2235	1	YER015W	YER015W_mRNA	0
V	192842	192875	34	+	-1.87224498529873	5.85275270911839	28.3839516548125	0.000219640870567632	0.000778988685263919	Promoter	5	192797	194230	1434	1	YER019W	YER019W_mRNA	45
V	196874	196965	92	+	1.32668471828212	8.11694580226708	68.9025231436911	3.80412449281972e-06	3.00501132825662e-05	Promoter	5	196948	198519	1572	1	YER021W	YER021W_mRNA	0
V	202160	202194	35	+	4.48402875496437	6.67047384839108	89.6034352626922	1.02343505520031e-06	1.08261629969667e-05	Promoter	5	202192	204963	2772	1	YER024W	YER024W_mRNA	0
V	211902	211988	87	-	-8.37781426360346	5.89472955859823	116.862547492083	1.40253228213894e-06	1.35143011581942e-05	Promoter	5	210692	211876	1185	2	YER028C	YER028C_mRNA	-112
V	225810	225889	80	+	1.26804179937001	5.7996191407927	9.08510970099275	0.0114374599404024	0.0222303036270147	Promoter	5	225889	226854	966	1	YER037W	YER037W_mRNA	0
V	237139	237203	65	-	-1.88769677392379	7.37770270623343	51.5234064183305	1.54424032381641e-05	8.96691338387905e-05	Promoter	5	235770	237119	1350	2	YER043C	YER043C_mRNA	-84
V	251697	251719	23	+	-2.3094046410725	5.85614889729334	37.2956836012042	6.78444801995229e-05	0.000288828731978021	Promoter	5	251728	253662	1935	1	YER049W	YER049W_mRNA	-9
V	254625	254648	24	+	1.25095837136663	5.40382773438425	8.58451056071991	0.0133218986670594	0.0253022478196375	Promoter	5	254656	256134	1479	1	YER051W	YER051W_mRNA	-8
V	258007	258098	92	-	-5.17126229190972	5.68962617469764	67.1005342997629	4.33285755774174e-06	3.30984063986991e-05	Promoter	5	256375	257958	1584	2	YER052C	YER052C_mRNA	-140
V	265761	265918	158	-	-6.57533847386511	7.94093838033922	226.397197786905	7.79316130109201e-09	3.00964467389791e-07	Promoter	5	264892	265785	894	2	YER055C	YER055C_mRNA	0
V	268178	268204	27	-	-2.54430133582903	6.73158167582882	102.156771996317	5.24090391483985e-07	6.45626289863563e-06	Promoter	5	266512	268113	1602	2	YER056C	YER056C_mRNA	-91
V	270148	270239	92	-	-2.22692108785246	9.31466072234378	251.234222153157	4.43216997431123e-09	2.17847869646449e-07	Promoter	5	269423	270185	763	2	YER056C-A	YER056C-A_mRNA	0
V	271701	271774	74	+	1.70169744107562	6.93326927376321	28.555165163895	0.00021420788872278	0.000764175649945048	Promoter	5	271768	272091	324	1	YER058W	YER058W_mRNA	0
V	27568	27669	102	+	1.13263256359015	8.08345017504058	55.3381700188379	1.10059677243624e-05	6.88368109855364e-05	Promoter	5	27657	29543	1887	1	YEL065W	YEL065W_mRNA	0
V	286922	286978	57	-	2.4106621665661	8.53031881697945	208.41992128057	1.21822654958529e-08	4.20417758176029e-07	Promoter	5	285241	286914	1674	2	YER065C	YER065C_mRNA	-64
V	298872	298917	46	+	-4.41044451113801	6.97915120542041	106.228230912288	4.28621412252052e-07	5.62175685180184e-06	Promoter	5	298950	301616	2667	1	YER070W	YER070W_mRNA	-33
V	303944	303981	38	+	-2.37395247764052	7.25865003486193	124.123272524843	1.91100346583897e-07	2.93906509238719e-06	Promoter	5	304030	305592	1563	1	YER073W	YER073W_mRNA	-49
V	306267	306358	92	+	-2.24448843672585	8.18111869748097	119.221679340183	2.35764325186958e-07	3.47645214048406e-06	Promoter	5	306323	307196	874	1	YER074W	YER074W_mRNA	0
V	328368	328463	96	+	-1.55557226230597	6.44168151650214	33.0491086095506	0.000115186969345135	0.00044683591570795	Promoter	5	328477	330207	1731	1	YER086W	YER086W_mRNA	-14
V	337856	337902	47	+	-1.41562782244821	5.67188768136044	11.6071426726219	0.00563217621153929	0.0121427423328977	Promoter	5	337949	339472	1524	1	YER090W	YER090W_mRNA	-47
V	349382	349456	75	-	1.03225762928996	7.63461511239576	21.8137137719278	0.000632084173181801	0.00188810410478984	Promoter	5	348729	349346	618	2	YER094C	YER094C_mRNA	-110
V	364515	364621	107	+	1.23881613580604	8.61287225678951	38.2182405252192	6.08565042343702e-05	0.000265496930491346	Promoter	5	364589	366517	1929	1	YER103W	YER103W_mRNA	0
V	382215	382244	30	-	-1.869323721713	5.77057234525054	27.8213349984713	0.00023867321231999	0.000831936856123976	Promoter	5	378762	382103	3342	2	YER110C	YER110C_mRNA	-141
V	396205	396287	83	-	1.31946712387451	7.07009553854555	33.7220313810248	0.000105560487471099	0.000417947381639028	Promoter	5	395348	396172	825	2	YER116C	YER116C_mRNA	-115
V	396718	396788	71	+	-2.78850545526173	8.67891922576479	163.068513758146	4.53360492664477e-08	9.96221349125894e-07	Promoter	5	396769	397653	885	1	YER117W	YER117W_mRNA	0
V	402299	402376	78	-	4.14132861831026	5.53775753377014	33.8812753513866	0.000103423081533787	0.000409818171615154	Promoter	5	402375	402719	345	1	YER121W	YER121W_mRNA	0
V	402304	402510	207	+	2.78878466404014	8.59040281679009	175.729160785136	3.04325513421497e-08	7.5881438516302e-07	Promoter	5	402375	402719	345	1	YER121W	YER121W_mRNA	0
V	404359	404393	35	-	-1.02540989668308	6.20757474447594	9.11833010256857	0.0113240240442128	0.0220410803996558	Promoter	5	402871	404352	1482	2	YER122C	YER122C_mRNA	-41
V	414188	414285	98	-	-1.41382927994496	8.62469453206379	84.3014980502501	1.39304579417109e-06	1.34731922026441e-05	Promoter	5	413394	414179	786	2	YER126C	YER126C_mRNA	-106
V	414442	414477	36	+	-2.33094762132972	5.25710664675175	27.8434502285174	0.000237889294964109	0.000830394052579163	Promoter	5	414481	415554	1074	1	YER127W	YER127W_mRNA	-4
V	41654	42024	371	-	1.86235080965723	10.3814802828258	189.380919027545	2.03896301575287e-08	5.87076570097837e-07	Promoter	5	40046	41953	1908	2	YEL060C	YEL060C_mRNA	0
V	422486	422557	72	-	-1.73412413375495	6.47893178111893	35.6111866600279	8.32022222707397e-05	0.000342522854119644	Promoter	5	421115	422446	1332	2	YER130C	YER130C_mRNA	-111
V	42590	42701	112	-	1.47111325692147	7.25399087726899	38.3961634607492	5.96082698641669e-05	0.000261545393290384	Promoter	5	42400	42624	225	2	YEL059C-A	YEL059C-A_mRNA	0
V	437779	437858	80	-	-1.20628282500858	6.79507412136521	28.3426104042448	0.000220976952630055	0.000782017346543891	Promoter	5	437267	437803	537	2	YER134C	YER134C_mRNA	0
V	439471	439610	140	+	1.38182210379843	7.93079491797421	35.9278020741448	8.00259715317516e-05	0.000331127872001278	Promoter	5	439616	440971	1356	1	YER136W	YER136W_mRNA	-6
V	441829	441896	68	-	-1.61382427242014	6.5686743124311	19.2788325250845	0.00100930997376965	0.00279686920977397	Promoter	5	441373	441819	447	2	YER137C	YER137C_mRNA	-77
V	441986	442328	343	+	1.81397801295081	9.4522341204939	47.6836106352293	2.21950296779068e-05	0.000118943848472131	Promoter	5	441987	442508	522	1	SCR1	SCR1_ncRNA	0
V	449539	449539	1	+	-3.45196067352613	5.44079851805205	30.4390917624263	0.000163773476617031	0.000605563630105223	Promoter	5	449474	449578	105	1	YER138W-A	YER138W-A_mRNA	65
